Word	OCR variants
phrase [312927]	phraae [195], phrass [89], ohrase [51], phraso [119], pbrase [134], phrnse [99], phraee [71], phrasa [86], phrasc [156]
before [309299]	betore [92]
many [308488]	nany [595], mnny [222], aany [387], manv [180]
number [303998]	nuaber [446], numbet [54], humber [88], nunber [325], numbcr [173], numher [119], dumber [62], numbor [156]
most [302268]	mosl [262], moat [1352], nost [485], aost [306]
house [298714]	horse [46709], houso [187], bouse [533], housc [405], houae [216], houee [139]
very [298262]	vory [272], verv [169], uery [93], vcry [256], veiy [412], rery [119], vety [129], vecy [52]
place [296595]	pluce [56], plaee [314], plaoe [328], placc [2000], plane [7199], piace [365], plaae [129], placo [215]
three [295983]	threo [119], threc [91], ihree [72], throe [644], lhree [74], tbree [114], thrce [115]
people [291747]	peopie [135], peopze [180]
verbal [290905]	verbai [133], vorbal [138], verbnl [94], vetbal [82], verhal [119], veibal [73], yerbal [102], vcrbal [193]
marker [289411]	masker [73], aarker [307], narker [233], marked [216114]
present [287244]	prcsent [117], presenl [154], prescnt [101], preseut [52], prefent [126], preeent [93], preaent [144], presont [79]
meaning [287148]	mcaning [84], neaning [173], meanlng [139], moaning [716]
12 [286025]	1b [5879], 1n [11521]
does [279864]	doea [275], doee [123], docs [2950], dees [552], doeo [54], daes [67], doer [2721], goes [42637], doss [145], doas [58], doos [332]
am [277114]	em [66121], aa [104764], ac [30508], ab [37801], ae [30177], ad [62587], cm [18403], af [19278], ai [112192], ah [52032], ak [64640], aj [55498], ao [27556], ap [45386], ar [109925], im [86651], aw [44266], av [42228], ay [90406], ax [19685], az [14582], nm [22968], lm [10747], tm [16446], ag [34737], dm [9673], fm [6309], om [44064], mm [22656], um [48214], sm [19789]
english [272723]	engliah [131], knglish [68], enalish [148], engllsh [235], engiish [197], snglish [78], englisb [92], znglish [96], englioh [55], bnglish [87], ehglish [80], enqlish [128]
13 [271919]	1b [5879], l3 [2617], 1n [11521]
about [268982]	aboul [270], ahout [187], abouc [53], ubout [84], abont [85]
occurs [268089]	oocurs [226], oceurs [87], ocours [161], cccurs [59], occure [222], occura [271], occuro [99], oecurs [109], occurr [596]
say [267583]	pay [31846], sny [475], saw [105033], way [216122], sad [13482]
pronouns [267227]	pronouna [183], pronouno [54], prenouns [369], prononns [68]
ti [266191]	ci [80274], xi [21828], ei [46124], zi [23785], ai [112192], vi [91379], ii [187673], li [184238], gi [76401], tz [8023], tx [11567], ty [24688], tv [33945], tw [16820], tt [51036], tu [156472], tr [99629], ts [88107], tp [8586], tq [6176], tn [27659], tl [54367], tm [16446], tj [21053], tk [10717], th [185862], tf [22745], tg [8203], td [16344], pi [212604], tb [12452], ri [122532], yi [91146], di [221286], bi [128041], wi [75288], hi [123540], ji [81174], fi [67364], oi [30461], ki [221432], mi [221700], tc [25831], si [223628], ui [27127], qi [14237]
her [261266]	hcr [1057]
above [261047]	abovo [148], ubove [50], ahove [160], aoove [69], aboye [103]
position [259627]	posilion [164], positioa [53]
pronoun [255920]	prenoun [372], prononn [101], pronoum [63], prououn [50]
tense [255678]	tonse [169], tenbe [61], tenae [232], tensc [148], tcnse [117], sense [90654], tenfe [69], lense [391], tenso [212]
long [252297]	lonq [158], loag [107], zong [698], iong [700], loug [115]
while [251540]	whole [71540]
those [251407]	tbose [105], thoae [197], thcse [146], ihose [102], thoee [173], thoso [288]
head [251005]	bead [3659], hcad [313], hoad [189]
table [250629]	tabie [98], tahle [85]
singular [250144]	aingular [54], singnlar [65], sinqular [77], singulnr [80], lingular [57], slngular [77], sinaular [67], singulur [55], singuiar [59]
because [246826]	becausc [282], bccause [433]
found [245898]	fouud [52], bound [55617], fonnd [98], lound [64]
pl [244502]	el [96363], cl [86589], al [168279], il [120473], gl [17981], pr [56611], ps [25014], nl [36050], pt [30311], pu [61294], pz [1075], px [2707], pb [3564], pc [13405], tl [54367], pa [242952], pf [25714], pg [6129], pd [6446], pe [102308], rl [23566], pi [212604], pn [17634], po [77797], pm [10769], dl [30124], yl [10999], bl [22270], wl [10775], pj [4273], fl [37403], ol [49146], ml [23747], kl [21512], ul [35051], sl [20085], ll [135845]
different [244070]	difterent [52]
each [241794]	eaeh [191], eaoh [215], eacb [74], eaah [142], cach [970]
eat [240879]	oat [3695], eal [1281], fat [29145], cat [34862]
3SG [240301]	JSG [540], FSG [742], 3SB [184], 3SF [1759], 3SP [262], NSG [2816], 3SM [2799], 3SO [730], 3SN [266], MSG [1118], SSG [121], 3SR [318], ISG [10105], 3SC [876], 3PG [145]
give [237010]	givc [470], giue [53], qive [105], givo [314], glve [283], gtve [180], gave [64904]
prefix [236010]	pretix [116], profix [173], preftx [206], preflx [265]
order [235607]	ordet [57], ordor [146], ordcr [232]
section [235477]	scction [338]
vowels [231275]	vcwels [51], yowels [98], vowols [297], rowels [156], vowcls [55], vowell [69], towels [311], voweis [128], vowele [62], vowela [143], vovels [91]
root [231104]	rool [434]
down [229138]	dowu [104], dowr [137], dovn [175]
type [228918]	typc [152], tvpe [63], lype [159], typo [981], rype [69]
tone [227952]	toae [95], tonc [197], lone [2593], toue [67], tune [3108]
said [227879]	snid [192], eaid [171], sald [194], aaid [326], paid [8337], laid [7392]
how [225176]	hov [910]
14 [224454]	1b [5879], 1n [11521]
